lat,lng,name,source,osm_type,osm_id
50.060471,18.494207,,osm,way,77825257
51.792566,14.775519,,osm,way,79269155
50.054901,19.951304,,osm,way,80042143
50.06098,19.957467,,osm,way,80728464
52.529599,17.58543,,osm,way,80786285
50.671627,19.192869,"Plac Szkolny",osm,way,80878924
52.2503,21.036184,,osm,way,81727039
51.137607,17.032679,,osm,way,81871711
52.431001,16.923132,,osm,way,82619300
50.429364,16.651273,,osm,way,84504750
50.429346,16.648454,,osm,way,85195952
50.429577,16.648631,,osm,way,85195954
52.260617,20.987774,,osm,way,85686053
52.260269,20.993629,,osm,way,85686112
49.706964,19.17156,,osm,way,87278038
54.273165,18.682743,,osm,way,87354503
53.025155,18.677912,,osm,way,87495891
51.416949,21.984357,,osm,way,87580002
54.263253,18.671945,,osm,way,88447070
54.762402,18.245096,,osm,way,89080179
53.02606,18.696567,,osm,way,90443988
50.01173,19.949711,,osm,way,90713522
52.790038,18.249622,"Hala Widowiskowo Sportowa",osm,way,91616292
50.289421,18.749129,,osm,way,91932673
49.826842,19.037172,,osm,way,92445299
52.060596,21.02841,,osm,way,92919194
52.163016,20.958915,,osm,way,93167610
52.157145,21.091587,,osm,way,95603011
51.652085,16.075302,,osm,way,96140127
52.137843,21.066871,,osm,way,96577273
51.811527,20.478659,,osm,way,96804048
50.284233,18.670779,,osm,way,99884766
52.223367,21.222269,,osm,way,100145669
50.279598,18.668838,,osm,way,100466449
52.249537,21.082382,,osm,way,102357660
51.816902,19.422474,,osm,way,103000041
51.103588,17.085503,,osm,way,103045623
52.394439,16.918883,,osm,way,103086812
50.072159,18.542279,,osm,way,105728819
52.240178,20.919284,,osm,way,107174516
49.820855,19.048489,,osm,way,107247440
50.076402,20.036818,,osm,way,107380110
52.22804,20.018406,,osm,way,108549116
51.13826,16.881911,,osm,way,109629441
50.569215,20.058839,,osm,way,110054456
52.116448,21.087986,,osm,way,110459551
51.756867,19.468935,,osm,way,111605422
53.072152,21.588598,,osm,way,111982092
54.8292,18.071695,,osm,way,112254912
51.037361,17.103717,,osm,way,113136519
52.55099,17.600616,,osm,way,114489811
53.089777,21.574445,,osm,way,115154882
52.326538,20.974896,,osm,way,115893314
53.410776,23.499355,,osm,way,116862574
51.749487,19.814887,,osm,way,117019985
51.742312,19.822016,,osm,way,117691273
51.710522,18.619154,,osm,way,118089903
51.146704,15.00462,"Orlik",osm,way,119385810
52.200413,20.86871,,osm,way,119422331
52.201149,20.90421,,osm,way,119494266
54.795058,18.398953,,osm,way,120743913
53.742472,20.477929,,osm,way,121175500
52.297308,21.048738,,osm,way,121657757
51.794951,19.487377,,osm,way,121706657
51.792703,19.47247,,osm,way,122071586
52.601045,14.653874,,osm,way,125229390
50.609356,22.671923,,osm,way,125234101
50.564939,21.172895,,osm,way,125773692
53.111157,18.03489,,osm,way,125841090
50.14064,19.633788,,osm,way,125957484
51.37849,21.162753,,osm,way,126532278
53.924413,18.488318,,osm,way,126808246
51.755914,19.538262,,osm,way,126823558
51.758045,19.528556,,osm,way,126846873
51.100259,16.946738,,osm,way,127680514
50.231762,19.088115,,osm,way,127942605
50.006476,19.9587,,osm,way,128246276
51.819059,19.44395,,osm,way,128826827
51.977684,20.892986,,osm,way,129009093
50.016875,19.920462,,osm,way,129123388
51.824794,19.442002,,osm,way,129273921
50.359959,20.034538,,osm,way,129429504
52.400885,16.95156,,osm,way,129462957
49.8258,19.03571,,osm,way,129692822
49.724215,20.138681,,osm,way,129812140
49.832684,19.929438,,osm,way,130054664
52.253865,21.048585,,osm,way,130169711
52.255944,21.040368,,osm,way,130169717
52.445343,16.990177,,osm,way,130210942
53.101101,18.035263,,osm,way,130485561
52.391819,17.070217,,osm,way,130640974
51.775554,19.426612,,osm,way,130992279
52.440894,16.93541,,osm,way,131627823
52.339792,16.99219,,osm,way,132147793
53.153661,18.151536,,osm,way,132521984
54.361671,18.588722,,osm,way,132639854
